net_rating_diff,recency_diff,injury_adj,home_flag,rest_diff,ref_pace_fast,market_momentum,home_win
2.980284918067396,-3.375891374871908,-0.02590480814894802,0,-1,0,0.031646772376552404,1
-0.8295858070271079,-0.7225933535775891,-0.0009361046681725193,0,-1,0,0.028321264444472537,0
3.886131228604155,-3.9620996049998065,0.0005405061613333975,0,-2,0,-0.03529995472156461,1
9.138179138448152,-1.5398076481952014,0.014178910375302169,0,2,0,0.03752124354807455,1
-1.4049202483400158,-9.468073334768928,-0.04100575089842479,1,2,1,0.008853383012314272,0
-1.4048217416950832,1.066468536864693,0.01777701821541992,0,1,0,-0.03620049161232657,1
9.475276893044349,0.006027376811121184,-0.08113174894808325,0,0,0,0.05282494019813199,0
4.6046083749174525,-4.085443155340953,-0.01889653657091431,0,0,0,-0.003767267637902499,0
-2.8168463156097125,3.296228342162025,-0.01464821527354634,0,-2,1,-0.058303294569327514,0
3.255360261515788,4.687850688132792,0.018999804782137152,1,-1,0,-0.021187990437123275,0
-2.7805061568747735,-8.03779932184487,0.0006789255803060742,1,-2,0,-0.02857362725145679,0
-2.794378521421541,-3.813623892831071,-0.042166891615688595,0,2,0,-0.020452198023446038,1
1.4517736293962047,-3.845711748936491,-0.029549793774510454,1,-1,1,-0.013355562364747407,0
-11.479681467946786,-4.699515505544324,0.0059604002864222065,1,-2,0,-0.007721677988547917,0
-10.349506995078197,4.147374209658742,-0.0023720202559366884,0,1,0,-0.00885008125551408,0
-3.373725175445836,-0.9691306938640176,-0.01737372328907239,1,2,0,-0.0029245567793117614,1
-6.076986722006543,-1.3225742065530537,-0.01442501368535938,1,0,1,0.017621801592526635,0
1.8854839955716431,-10.019311822033767,0.02088503991477867,1,-2,0,-0.022393090776818444,1
-5.448144453127266,3.177090151046132,-0.01553077718607644,1,2,1,0.035430015930118366,1
-8.473822208011748,-6.196291974267362,-0.0026427373208721986,0,2,1,-0.03675550495715023,0
8.793892613529325,0.29966315133164123,0.06509809764241628,1,0,1,0.018453565674762754,1
